time,open,high,low,close,volume
2026-06-29 16:03:00+00:00,59789.02,59789.02,59777.2,59778.2,0.08105429
2026-06-29 16:04:00+00:00,59792.95,59792.95,59792.94,59792.94,0.02530148
2026-06-29 16:05:00+00:00,59835.62,59919.39,59835.57,59901.31,0.15083855
2026-06-29 16:06:00+00:00,59829.26,59850.81,59820.73,59850.81,0.12097627
2026-06-29 16:07:00+00:00,59844.7,59888.37,59833.5,59888.36,0.17679455
2026-06-29 16:08:00+00:00,59886.2,59886.2,59774.94,59774.94,0.09323669
2026-06-29 16:12:00+00:00,59795.22,59796.88,59766.43,59794.5,0.22697531
2026-06-29 16:13:00+00:00,59791.15,59791.15,59729.93,59740.34,0.06859875
2026-06-29 16:14:00+00:00,59717.7,59764.4,59706.74,59764.4,0.13682499
2026-06-29 16:15:00+00:00,59761.92,59764.05,59745.33,59756.65,0.06579693
2026-06-29 16:16:00+00:00,59733.39,59758.53,59733.39,59756.98,0.02092379
2026-06-29 16:17:00+00:00,59764.27,59764.27,59764.27,59764.27,0.00304
2026-06-29 16:18:00+00:00,59767.61,59767.61,59750.43,59750.43,0.0062453
2026-06-29 16:19:00+00:00,59740.73,59773.13,59740.73,59769.93,0.02572044
2026-06-29 16:20:00+00:00,59733.42,59733.42,59710.71,59728.45,0.0294814
2026-06-29 16:21:00+00:00,59723.34,59723.34,59704.7,59705.07,0.00812386
2026-06-29 16:22:00+00:00,59670.85,59680.6,59670.85,59680.6,0.05549964
2026-06-29 16:23:00+00:00,59689.15,59709.63,59689.15,59709.63,0.005594
2026-06-29 16:25:00+00:00,59680.38,59690.01,59629.37,59629.37,0.10384887
2026-06-29 16:28:00+00:00,59587.02,59660.66,59585.6,59660.66,0.28835651
2026-06-29 16:30:00+00:00,59725.11,59725.11,59647.87,59648.09,0.0380574
2026-06-29 16:33:00+00:00,59639.08,59639.08,59639.08,59639.08,5.1e-05
2026-06-29 16:34:00+00:00,59644.42,59696.15,59644.42,59694.23,0.002442
2026-06-29 16:36:00+00:00,59694.27,59756.11,59694.27,59754.48,0.000545
2026-06-29 16:37:00+00:00,59763.3,59787.51,59763.3,59787.51,0.000481
2026-06-29 16:38:00+00:00,59771.35,59771.37,59751.08,59764.95,0.13465319
2026-06-29 16:39:00+00:00,59806.44,59829.01,59806.44,59827.26,0.06889134
2026-06-29 16:40:00+00:00,59822.44,59845.23,59822.44,59845.23,0.045381
2026-06-29 16:42:00+00:00,59854.83,59854.83,59854.83,59854.83,0.000185
2026-06-29 16:43:00+00:00,59829.47,59880.37,59829.47,59880.37,0.04140774
2026-06-29 16:44:00+00:00,59867.11,59874.91,59867.11,59872.19,0.0899897
2026-06-29 16:45:00+00:00,59865.61,59867.59,59835.5,59838.98,0.09621392
2026-06-29 16:46:00+00:00,59847.42,59933.87,59847.42,59927.6,0.08476557
2026-06-29 16:50:00+00:00,59999.29,59999.29,59889.91,59893.34,0.09581179
2026-06-29 16:51:00+00:00,59889.64,59911.0,59852.83,59852.83,0.23024447
2026-06-29 16:54:00+00:00,59854.39,59888.31,59854.39,59888.31,0.03083708
2026-06-29 16:55:00+00:00,59875.39,59876.36,59854.68,59876.36,0.11729697
2026-06-29 16:58:00+00:00,59880.76,59924.66,59880.76,59924.66,0.09997305
2026-06-29 17:01:00+00:00,59922.53,59922.53,59922.53,59922.53,0.02368664
2026-06-29 17:02:00+00:00,59951.43,59995.58,59951.43,59995.58,0.14111433
2026-06-29 17:03:00+00:00,60000.03,60132.48,59999.97,60132.48,0.30912022
2026-06-29 17:04:00+00:00,60120.66,60236.78,60120.66,60183.54,0.38966023
2026-06-29 17:05:00+00:00,60228.08,60251.26,60223.18,60223.18,0.16413656
2026-06-29 17:06:00+00:00,60207.64,60212.21,60207.64,60212.21,0.04240658
2026-06-29 17:09:00+00:00,60207.87,60207.88,60207.87,60207.88,0.01958
2026-06-29 17:10:00+00:00,60240.59,60300.88,60240.5,60277.59,0.11843297
2026-06-29 17:11:00+00:00,60236.02,60278.5,60224.8,60278.5,0.26022737
2026-06-29 17:12:00+00:00,60290.29,60368.09,60290.29,60368.09,0.20415491
2026-06-29 17:13:00+00:00,60380.95,60505.88,60380.95,60431.19,0.40654895
2026-06-29 17:14:00+00:00,60434.02,60492.4,60428.57,60492.4,0.20277776
2026-06-29 17:15:00+00:00,60492.12,60591.88,60492.12,60581.31,0.21582011
2026-06-29 17:16:00+00:00,60570.38,60570.38,60466.86,60548.51,0.19440843
2026-06-29 17:17:00+00:00,60597.34,60597.35,60544.82,60580.34,0.19557284
2026-06-29 17:18:00+00:00,60609.01,60623.94,60609.01,60623.94,0.06753675
2026-06-29 17:19:00+00:00,60619.9,60623.32,60594.67,60619.21,0.09500646
2026-06-29 17:20:00+00:00,60619.46,60619.46,60615.49,60615.49,0.1108108
2026-06-29 17:21:00+00:00,60575.98,60575.98,60419.68,60448.58,0.52323467
2026-06-29 17:22:00+00:00,60437.93,60508.4,60418.58,60452.99,0.11828465
2026-06-29 17:25:00+00:00,60429.29,60459.48,60405.06,60407.49,0.09021164
2026-06-29 17:27:00+00:00,60417.19,60456.7,60417.19,60452.71,0.03483
2026-06-29 17:29:00+00:00,60541.13,60561.5,60539.56,60542.37,0.18544783
2026-06-29 17:30:00+00:00,60569.33,60654.36,60569.33,60654.36,0.08695261
2026-06-29 17:31:00+00:00,60660.41,60672.11,60585.9,60592.28,0.16777191
2026-06-29 17:32:00+00:00,60599.84,60599.84,60513.42,60513.42,0.05634668
2026-06-29 17:33:00+00:00,60498.78,60516.14,60498.17,60502.31,0.03958152
2026-06-29 17:34:00+00:00,60500.05,60503.31,60481.88,60497.34,0.02226161
2026-06-29 17:35:00+00:00,60503.15,60503.15,60439.17,60439.17,0.001979
2026-06-29 17:36:00+00:00,60448.2,60480.94,60448.2,60480.94,0.05753717
2026-06-29 17:37:00+00:00,60480.94,60487.56,60425.59,60425.59,0.0970772
2026-06-29 17:38:00+00:00,60421.52,60421.52,60398.29,60399.05,0.19489178
2026-06-29 17:39:00+00:00,60452.15,60452.15,60439.17,60443.95,0.00966893
2026-06-29 17:40:00+00:00,60452.57,60464.69,60452.57,60460.88,0.02943426
2026-06-29 17:41:00+00:00,60482.7,60503.19,60482.7,60503.19,0.06840878
2026-06-29 17:42:00+00:00,60558.77,60558.77,60541.87,60541.87,0.01123515
2026-06-29 17:43:00+00:00,60559.22,60587.0,60526.89,60587.0,0.13686688
2026-06-29 17:44:00+00:00,60641.83,60651.75,60623.37,60623.37,0.02933753
2026-06-29 17:45:00+00:00,60577.73,60627.17,60577.73,60627.17,0.02557098
2026-06-29 17:46:00+00:00,60627.16,60647.73,60612.08,60612.08,0.1013887
2026-06-29 17:47:00+00:00,60614.51,60619.53,60561.29,60561.42,0.06274981
2026-06-29 17:48:00+00:00,60547.6,60574.31,60547.59,60569.36,0.032607
2026-06-29 17:49:00+00:00,60589.68,60601.15,60586.21,60587.19,0.01563997
2026-06-29 17:50:00+00:00,60560.72,60560.72,60486.52,60508.57,0.08686051
2026-06-29 17:51:00+00:00,60522.76,60523.59,60494.41,60517.84,0.03756903
2026-06-29 17:52:00+00:00,60531.12,60577.46,60531.12,60567.0,0.038509
2026-06-29 17:53:00+00:00,60536.17,60549.14,60534.24,60549.13,0.01409554
2026-06-29 17:54:00+00:00,60530.46,60530.46,60489.56,60497.21,0.08129208
2026-06-29 17:55:00+00:00,60488.46,60503.14,60488.46,60503.14,0.02286332
2026-06-29 17:56:00+00:00,60511.89,60527.17,60511.89,60525.6,0.07527239
2026-06-29 17:57:00+00:00,60528.63,60528.63,60474.76,60474.78,0.0157514
2026-06-29 17:58:00+00:00,60460.81,60460.82,60405.19,60414.72,0.1946534
2026-06-29 18:00:00+00:00,60398.97,60409.36,60336.31,60336.31,0.27524284
2026-06-29 18:01:00+00:00,60341.93,60439.77,60341.93,60439.77,0.02884726
2026-06-29 18:02:00+00:00,60395.96,60395.96,60341.49,60377.21,0.03238276
2026-06-29 18:03:00+00:00,60406.66,60415.7,60406.63,60415.7,0.03803415
2026-06-29 18:05:00+00:00,60433.05,60451.4,60427.57,60432.47,0.026185
2026-06-29 18:06:00+00:00,60434.63,60443.18,60427.2,60428.66,0.09093106
2026-06-29 18:07:00+00:00,60441.55,60463.53,60441.55,60463.53,0.010054
2026-06-29 18:08:00+00:00,60478.62,60492.24,60478.1,60483.18,0.16260169
2026-06-29 18:09:00+00:00,60486.26,60496.91,60437.86,60475.53,0.08672893
2026-06-29 18:10:00+00:00,60470.09,60487.92,60470.09,60487.01,0.031719
2026-06-29 18:12:00+00:00,60498.94,60513.43,60497.16,60513.43,0.04270756
2026-06-29 18:15:00+00:00,60519.6,60519.6,60474.83,60474.83,0.04771147
2026-06-29 18:16:00+00:00,60471.31,60471.31,60419.16,60419.16,0.00783671
2026-06-29 18:17:00+00:00,60412.57,60416.13,60387.82,60409.5,0.12461927
2026-06-29 18:18:00+00:00,60399.25,60422.48,60399.24,60422.48,0.00606798
2026-06-29 18:19:00+00:00,60454.46,60461.06,60454.46,60460.39,0.00953527
2026-06-29 18:21:00+00:00,60458.23,60476.16,60436.61,60476.16,0.09448251
2026-06-29 18:23:00+00:00,60460.76,60464.93,60446.75,60447.45,0.08465685
2026-06-29 18:25:00+00:00,60432.52,60437.88,60423.71,60423.71,0.09242613
2026-06-29 18:27:00+00:00,60425.86,60426.06,60347.97,60370.18,0.09571291
2026-06-29 18:28:00+00:00,60349.33,60359.17,60246.58,60246.58,0.26777963
2026-06-29 18:29:00+00:00,60259.53,60288.54,60240.05,60288.54,0.2522629
2026-06-29 18:30:00+00:00,60295.14,60299.48,60268.09,60278.3,0.04261944
2026-06-29 18:31:00+00:00,60291.82,60298.86,60286.71,60298.86,0.00853316
2026-06-29 18:32:00+00:00,60326.72,60339.26,60326.72,60339.26,0.0460028
2026-06-29 18:33:00+00:00,60337.06,60337.06,60275.46,60275.47,0.02145339
2026-06-29 18:34:00+00:00,60293.54,60302.09,60248.79,60261.9,0.06616334
2026-06-29 18:35:00+00:00,60265.61,60287.9,60261.01,60287.61,0.10706114
2026-06-29 18:36:00+00:00,60258.21,60265.53,60245.48,60264.27,0.11140032
2026-06-29 18:37:00+00:00,60266.44,60273.61,60216.7,60232.54,0.46300473
2026-06-29 18:38:00+00:00,60229.43,60291.73,60229.43,60291.73,0.17510141
2026-06-29 18:39:00+00:00,60280.52,60280.85,60243.94,60280.85,0.1600653
2026-06-29 18:40:00+00:00,60280.51,60306.28,60233.21,60233.23,0.7968916
2026-06-29 18:41:00+00:00,60232.97,60249.18,60232.97,60249.18,0.12623301
2026-06-29 18:42:00+00:00,60259.0,60272.35,60252.63,60272.35,0.11284534
2026-06-29 18:43:00+00:00,60277.74,60277.74,60232.38,60244.51,0.38278439
2026-06-29 18:44:00+00:00,60242.08,60278.1,60242.08,60278.1,0.13594362
2026-06-29 18:45:00+00:00,60297.23,60297.85,60275.22,60275.22,0.0112995
2026-06-29 18:46:00+00:00,60266.33,60275.81,60253.11,60275.81,0.01440431
2026-06-29 18:47:00+00:00,60270.95,60290.49,60256.96,60285.41,0.05775432
2026-06-29 18:48:00+00:00,60272.22,60274.92,60272.22,60274.92,0.0047
